filiere,puismaxinstallee
Solaire,192.12
Solaire,54.8
Solaire,48.25
Solaire,158.31
Solaire,167.29
Solaire,85.32
Solaire,82.8
Solaire,52.8
Solaire,63.0
Solaire,87.67
Solaire,64.33
Solaire,82.8
Solaire,106.71
Hydraulique,750.0
Solaire,41.88
Solaire,250.0
Solaire,66.18
Solaire,85.67
Bioénergies,76.0
Solaire,312.33
Solaire,154.03
Solaire,72.36
Solaire,144.98
Solaire,37.0
Solaire,94.99
Solaire,2035.0
Solaire,248.0
Solaire,74.25
Solaire,90.0
Solaire,156.0
Solaire,197.79
Solaire,77.89
Solaire,152.1
Solaire,48.89
Hydraulique,400.0
Hydraulique,474.0
Solaire,43.7
Solaire,99.7
Solaire,47.32
Solaire,165.5
Solaire,70.36
Solaire,220.0
Solaire,83.68
Solaire,116.97
Solaire,48.48
Solaire,770.0
Solaire,34.28
Solaire,60.65
Solaire,31.81
Solaire,37.14
Solaire,45.46
Solaire,210.87
Solaire,71.6
Solaire,80.22
Solaire,129.81
Solaire,42.87
Solaire,244.0
Solaire,66.4
Solaire,75.36
Solaire,228.0
Solaire,114.38
Solaire,66.4
Hydraulique,130.0
